reference,hypothesis
"Patient has fever, headache, back pain, leg pain all over the body, I recommend to give Dolo 650 tablet thrice a day for 6 days, and I also want to give Pantop DSR for 7 days. Ask patient to come after 12 days and give thyroxine 25 mcg for 15 days.","Patient has fever, headache, back pain, leg pain all over the body. I recommend to give Dolo 650 tablet twice a day for six days. And I also want to give Pantop DSR for seven days. Ask patient to come after 12 days and give thyroxine 25 mcg for 15 days."
"Hello. The patient has fever, headache, body ache all over the body, and there's also so much happening. I recommend him to do antigen test. I'm suspecting dengue, and the patient should take dolo 650, the patient should take Pantop DSR 40.","Hello, the patient has fever, headache, body ache all over the body and there's also so much happening. I have requested him to do test. I'm suspecting dengue and the patient is stable. The patient seems kind of be supportive."
"And, I want to also give Pantop DSR 40. And then, give some Eno for 5 days and ask the patient to come and see me after 10 days.",uh and uh I need to also do some kind of a CSR activity and uh then I will get some leave for five days and after question we can continue after five days.
"For the medicine, take thyroxine. Also take Dolo 650. Avoid eating outside food, take proper bed rest and, go for morning walks regularly. Next follow-up is scheduled within a week.","Uh for the medicine take thyroxine. Uh also take Dolo 650. Uh avoid eating outside food, take proper bed rest and go for morning walk regularly. Uh next follow up is scheduled within a week."
"and then there was also this problem of headaches, and we did eye checkups and there is no problem. So, and there is a problem of wheezing and sneezing, so we're giving him sinus antibiotics, uh, and also cetrizine",um and then there is also this problem of headache and we did eye checkup so there is no problem so and there is a problem of bleeding bleeding so we have given some antibiotics and also
"In the morning and evening with warm water. Another suggestion is to get yourself tested for complete blood count. Oh yeah, I forgot, continue your thyroxine, Thyronorm tablet.","in the morning and evening just warm water. Another suggestion is to get yourself tested for complete blood count. So yeah, I forgot continue your thyroxine thyroid hormone tablets."
"Let's prescribe you, Azithromycin also, Allegra 120 mg. Azithromycin you take once in a day.",Let's just write you azithromycin also Allegra 120 mg. Azithromycin is taken one time day.
"Give patient Dolo 650 tablet 3 times a day. Give Pantop DSR. Give Pantoprazole, give glimepiride, give metformin. Give thyroxine, also gelusil tablet, eno sachet, also recommend volini, and then.","Uh give patient Dolo 650 tablet three times a day. Give Pantop DSR, give Pantoprazole, give Glimipride, give Metformin, give Thyroxine. Uh also Gelusil tablet, Eno sachet, also recommend Volini. Uh and then"
"Patient has reported fever, back pain, leg pain, headache. All sorts of pains. I am diagnosing him with dengue. He should get complete health checkup and dengue anti G, antibody gen and antigen test done. Also, I recommend him to take dolo tablet for","Patient has reported fever, back pain, leg pain, headache, all sorts of pains and diagnosis with dengue. He should get complete health checkup and dengue antigen antibodies and antigen test as well. Also, I recommend him to take Dolo tablets for"
"Suffering from allergy, depression, fever, headache. Take Dolo 650, Allegra. He is also suffering from cancer, has COVID for a couple of days. Take vomistop, take eno, take. Avoid eating outside food, avoid eating oily food. Sleep for at least 6 to 8 hours.","suffering from allergy, depression, fever, headache, take, take, allegra. he is also suffering from cancer, has covid for a couple of days. take, take, take avoid eating outside food, avoid eating oily food. sleep for at least six to eight hours."
"Suffering from allergy, depression, fever, headache. Take Dolo 650, Allegra. He is also suffering from cancer, has COVID for a couple of days. Take vomistop, take Eno, take. Avoid eating outside food, avoid eating oily food. Sleep for at least 6 to 8 hours.","suffering from allergy, depression, fever, headache, take 50, Allegra. Uh he is also suffering from cancer, has covid for a couple of days. Uh take vomit stop, take chemo, uh take avoid eating outside food, avoid eating oily food. Uh sleep for at least six to eight hours."
"Dolo 650 tablet thrice a day after meals for 5 days. Panto DSR 40 for 6 days, once a day before breakfast, and give gelusil tablet, give Eno sachet, and also take Calpol, take glimepiride.",dolo 650 tablet twice a day after meals for five days pantop DSR 40 for six days once a day before breakfast and give gelucil tablet give inno session and also take calpol take gemicide.
cold blocked nose and Cough. The possible diagnosis is it could be influenza since 3 days or it could be dengue or malaria. Lab investigation of dengue and malaria suggested for the patient.,"cold, blocked nose and cough. The possible diagnosis is it could be influenza since three days or it could be dengue or malaria. Lab investigation of dengue and malaria suggested for the patient."
"Hey, hello. Patient's name is Arya and he is 30 years old. Patient should take Dolo 650 three times a day for the next three days and he should take Crocin for the next one week, SOS.",Hey hello patient name is Arya and he is 30 years old. Patient should take Dolo 650 three times a day for next three days and he should take Crocin for next one week SOS.
"Post lunch, Take, do warm water gargles, morning and evening, Also, azithromycin, it's an antibiotic. It'll help, If there are any bacterial infections.",both lunch take and do a warm water gargle morning and evening also azithromycin is an antibiotic will help if there are any bacterial infections
"Follow-up appointment should be taken three days later. Medicines to be taken are Dolo 500, three times a day for five days. Pantz three times a day before for three days,Telma 40, three times a day for five days.",Follow up appointment should be taken three days later. Medicines to be taken are Dolo 500 three times a day for five days. Pant PG three times a day before food for three days. Telma 40 three times a day for five days.
"Patient name is Mr. Rajesh Kumar. His age is 45 years. gender male, prescription is dated 7 September 2024. So, diagnosis is hypothyroidism and hypertension. Prescriptions are thyroxine sodium, thyronorm 50 mcg.",Patient name is Mr. Rajesh Kumar. His age is 45 years. Gender male. The patient is dated 7th September 2024. So diagnosis is hypothyroidism and hypertension. Prescription are thyroxine sodium thyronorm 50 mcg.
"OK. And Tablet ultracet SOS only if you're feeling very severe headache. Samajh gaya . You can take tablet Pantop. OK. In the morning, before food.",Okay. And tablet acid fast SOS only to feeling very severe headache. Simply tablet pantop. Okay. In the morning before food.
"Hifenac P tablet once a day after lunch for 7 days, and the patient should come to me after 1 week to show again. And there is no diagnosis as such, but I'm suspecting that there might be a dengue since it's a dengue season.","So, hyponac 500 mg once a day after lunch for seven days and the patient should come to me after one week to show again. And there is no diagnosis as such, but I'm suspecting that there might be dengue since it's a dengue season."
